Acacia Boat, minecraft:acacia_boat, 447;
Acacia Button, minecraft:acacia_button,  ;
Acacia Door, minecraft:acacia_door, 430;
Acacia Fence, minecraft:acacia_fence, 192;
Acacia Fence Gate, minecraft:acacia_fence_gate, 187;
Acacia Leaves, minecraft:acacia_leaves,  ;
Acacia Log, minecraft:acacia_log,  ;
Acacia Planks, minecraft:acacia_planks,  ;
Acacia Pressure Plate, minecraft:acacia_pressure_plate,  ;
Acacia Sapling, minecraft:acacia_sapling,  ;
Acacia Sign, minecraft:acacia_sign,  ;
Acacia Wood Slab, minecraft:acacia_slab,  ;
Acacia Wood Stairs, minecraft:acacia_stairs, 163;
Acacia Trapdoor, minecraft:acacia_trapdoor,  ;
Acacia Wood with Bark, minecraft:acacia_wood,  ;
Activator Rails, minecraft:activator_rail, 157;
Air, minecraft:air, 0;
Allium, minecraft:allium,  ;
Ancient Debris, minecraft:ancient_debris,  ;
Andesite, minecraft:andesite,  ;
Andesite Slab, minecraft:andesite_slab,  ;
Andesite Stairs, minecraft:andesite_stairs,  ;
Andesite Wall, minecraft:andesite_wall,  ;
Anvil, minecraft:anvil, 145;
Apple, minecraft:apple, 260;
Armor Stand, minecraft:armor_stand, 416;
Arrow, minecraft:arrow, 262;
Azure Bluet, minecraft:azure_bluet,  ;
Baked Potato, minecraft:baked_potato, 393;
Bamboo, minecraft:bamboo,  ;
Barrel, minecraft:barrel,  ;
Barrier, minecraft:barrier, 166;
Basalt, minecraft:basalt,  ;
Bat Spawn Egg, minecraft:bat_spawn_egg,  ;
Beacon, minecraft:beacon, 138;
Bedrock, minecraft:bedrock,  ;
Bee Nest, minecraft:bee_nest,  ;
Bee Spawn Egg, minecraft:bee_spawn_egg,  ;
Raw Beef, minecraft:beef, 363;
Beehive, minecraft:beehive,  ;
Beetroot, minecraft:beetroot, 434;
Beetroot Seeds, minecraft:beetroot_seeds, 435;
Beetroot Soup, minecraft:beetroot_soup, 436;
Bell, minecraft:bell,  ;
Birch Boat, minecraft:birch_boat, 445;
Birch Button, minecraft:birch_button,  ;
Birch Door, minecraft:birch_door, 428;
Birch Fence, minecraft:birch_fence, 189;
Birch Fence Gate, minecraft:birch_fence_gate, 184;
Birch Leaves, minecraft:birch_leaves,  ;
Birch Log, minecraft:birch_log,  ;
Birch Planks, minecraft:birch_planks,  ;
Birch Pressure Plate, minecraft:birch_pressure_plate,  ;
Birch Sapling, minecraft:birch_sapling,  ;
Birch Sign, minecraft:birch_sign,  ;
Birch Wood Slab, minecraft:birch_slab,  ;
Birch Wood Stairs, minecraft:birch_stairs, 135;
Birch Trapdoor, minecraft:birch_trapdoor,  ;
Birch Wood with Bark, minecraft:birch_wood,  ;
Black Banner, minecraft:black_banner,  ;
Black Bed, minecraft:black_bed,  ;
Black Carpet, minecraft:black_carpet,  ;
Black Concrete, minecraft:black_concrete,  ;
Black Concrete Powder, minecraft:black_concrete_powder,  ;
Black Dye, minecraft:black_dye,  ;
Black Glazed Terracotta, minecraft:black_glazed_terracotta, 250;
Black Shulker Box, minecraft:black_shulker_box, 234;
Black Stained Glass, minecraft:black_stained_glass,  ;
Black Stained Glass Pane, minecraft:black_stained_glass_pane,  ;
Black Terracotta, minecraft:black_terracotta,  ;
Black Wool, minecraft:black_wool,  ;
Blackstone, minecraft:blackstone,  ;
Blackstone Slab, minecraft:blackstone_slab,  ;
Blackstone Stairs, minecraft:blackstone_stairs,  ;
Blackstone Wall, minecraft:blackstone_wall,  ;
Blast Furnace, minecraft:blast_furnace,  ;
Blaze Powder, minecraft:blaze_powder, 377;
Blaze Rod, minecraft:blaze_rod, 369;
Blaze Spawn Egg, minecraft:blaze_spawn_egg,  ;
Blue Banner, minecraft:blue_banner,  ;
Blue Bed, minecraft:blue_bed,  ;
Blue Carpet, minecraft:blue_carpet,  ;
Blue Concrete, minecraft:blue_concrete,  ;
Blue Concrete Powder, minecraft:blue_concrete_powder,  ;
Blue Dye, minecraft:blue_dye,  ;
Blue Glazed Terracotta, minecraft:blue_glazed_terracotta, 246;
Blue Ice, minecraft:blue_ice,  ;
Blue Orchid, minecraft:blue_orchid,  ;
Blue Shulker Box, minecraft:blue_shulker_box, 230;
Blue Stained Glass, minecraft:blue_stained_glass,  ;
Blue Stained Glass Pane, minecraft:blue_stained_glass_pane,  ;
Blue Terracotta, minecraft:blue_terracotta,  ;
Blue Wool, minecraft:blue_wool,  ;
Bone, minecraft:bone, 352;
Bone Block, minecraft:bone_block, 216;
Bone Meal, minecraft:bone_meal,  ;
Book, minecraft:book, 340;
Bookshelf, minecraft:bookshelf, 47;
Bow, minecraft:bow, 261;
Bowl, minecraft:bowl, 281;
Brain Coral, minecraft:brain_coral,  ;
Brain Coral Block, minecraft:brain_coral_block,  ;
Brain Coral Fan, minecraft:brain_coral_fan,  ;
Bread, minecraft:bread, 297;
Brewing Stand, minecraft:brewing_stand, 379;
Brick, minecraft:brick, 336;
Brick Slab, minecraft:brick_slab,  ;
Brick Stairs, minecraft:brick_stairs, 108;
Brick Wall, minecraft:brick_wall,  ;
Bricks, minecraft:bricks,  ;
Brown Banner, minecraft:brown_banner,  ;
Brown Bed, minecraft:brown_bed,  ;
Brown Carpet, minecraft:brown_carpet,  ;
Brown Concrete, minecraft:brown_concrete,  ;
Brown Concrete Powder, minecraft:brown_concrete_powder,  ;
Brown Dye, minecraft:brown_dye,  ;
Brown Glazed Terracotta, minecraft:brown_glazed_terracotta, 247;
Mushroom (brown), minecraft:brown_mushroom, 39;
Brown Mushroom Block, minecraft:brown_mushroom_block, 99;
Brown Shulker Box, minecraft:brown_shulker_box, 231;
Brown Stained Glass, minecraft:brown_stained_glass,  ;
Brown Stained Glass Pane, minecraft:brown_stained_glass_pane,  ;
Brown Terracotta, minecraft:brown_terracotta,  ;
Brown Wool, minecraft:brown_wool,  ;
Bubble Coral, minecraft:bubble_coral,  ;
Bubble Coral Block, minecraft:bubble_coral_block,  ;
Bubble Coral Fan, minecraft:bubble_coral_fan,  ;
Bucket, minecraft:bucket, 325;
Cactus, minecraft:cactus, 81;
Cake, minecraft:cake, 354;
Campfire, minecraft:campfire,  ;
Carrot, minecraft:carrot, 391;
Carrot on a Stick, minecraft:carrot_on_a_stick, 398;
Cartography Table, minecraft:cartography_table,  ;
Carved Pumpkin, minecraft:carved_pumpkin,  ;
Cat Spawn Egg, minecraft:cat_spawn_egg,  ;
Cauldron, minecraft:cauldron, 380;
Cave Spider Spawn Egg, minecraft:cave_spider_spawn_egg,  ;
Chain, minecraft:chain,  ;
Chain Command Block, minecraft:chain_command_block, 211;
Chain Boots, minecraft:chainmail_boots, 305;
Chain Chestplate, minecraft:chainmail_chestplate, 303;
Chain Helmet, minecraft:chainmail_helmet, 302;
Chain Leggings, minecraft:chainmail_leggings, 304;
Charcoal, minecraft:charcoal,  ;
Chest, minecraft:chest, 54;
Minecart with Chest, minecraft:chest_minecart, 342;
Raw Chicken, minecraft:chicken, 365;
Chicken Spawn Egg, minecraft:chicken_spawn_egg,  ;
Slightly Damaged Anvil, minecraft:chipped_anvil, 145;
Chiseled Nether Bricks, minecraft:chiseled_nether_bricks,  ;
Chiseled Polished Blackstone, minecraft:chiseled_polished_blackstone,  ;
Chiseled Quartz Block, minecraft:chiseled_quartz_block,  ;
Chiseled Red Sandstone, minecraft:chiseled_red_sandstone,  ;
Chiseled Sandstone, minecraft:chiseled_sandstone,  ;
Chiseled Stone Bricks, minecraft:chiseled_stone_bricks,  ;
Chorus Flower, minecraft:chorus_flower, 200;
Chorus Fruit, minecraft:chorus_fruit, 432;
Chorus Plant, minecraft:chorus_plant, 199;
Clay Block, minecraft:clay, 82;
Clay, minecraft:clay_ball, 337;
Clock, minecraft:clock, 347;
Coal, minecraft:coal, 263;
Coal Block, minecraft:coal_block, 173;
Coal Ore, minecraft:coal_ore, 16;
Coarse Dirt, minecraft:coarse_dirt,  ;
Cobblestone, minecraft:cobblestone, 4;
Cobblestone Slab, minecraft:cobblestone_slab,  ;
Cobblestone Stairs, minecraft:cobblestone_stairs,  ;
Cobblestone Wall, minecraft:cobblestone_wall, 139;
Cobweb, minecraft:cobweb, 30;
Cocoa Beans, minecraft:cocoa_beans,  ;
Raw Cod, minecraft:cod,  ;
Bucket of Cod, minecraft:cod_bucket,  ;
Cod Spawn Egg, minecraft:cod_spawn_egg,  ;
Command Block, minecraft:command_block, 137;
Minecart with Command Block, minecraft:command_block_minecart, 422;
Redstone Comparator, minecraft:comparator, 404;
Compass, minecraft:compass, 345;
Composter, minecraft:composter,  ;
Conduit, minecraft:conduit,  ;
Steak, minecraft:cooked_beef, 364;
Cooked Chicken, minecraft:cooked_chicken, 366;
Cooked Cod, minecraft:cooked_cod,  ;
Cooked Mutton, minecraft:cooked_mutton, 424;
Cooked Porkchop, minecraft:cooked_porkchop, 320;
Cooked Rabbit, minecraft:cooked_rabbit, 412;
Cooked Salmon, minecraft:cooked_salmon,  ;
Cookie, minecraft:cookie, 357;
Cornflower, minecraft:cornflower,  ;
Cow Spawn Egg, minecraft:cow_spawn_egg,  ;
Cracked Nether Bricks, minecraft:cracked_nether_bricks,  ;
Cracked Polished Blackstone Bricks, minecraft:cracked_polished_blackstone_bricks,  ;
Cracked Stone Bricks, minecraft:cracked_stone_bricks,  ;
Crafting Table, minecraft:crafting_table, 58;
Creeper Charge Banner Pattern, minecraft:creeper_banner_pattern,  ;
Creeper Head, minecraft:creeper_head,  ;
Creeper Spawn Egg, minecraft:creeper_spawn_egg,  ;
Crimson Button, minecraft:crimson_button,  ;
Crimson Door, minecraft:crimson_door,  ;
Crimson Fence, minecraft:crimson_fence,  ;
Crimson Fence Gate, minecraft:crimson_fence_gate,  ;
Crimson Fungus, minecraft:crimson_fungus,  ;
Crimson Hyphae, minecraft:crimson_hyphae,  ;
Crimson Nylium, minecraft:crimson_nylium,  ;
Crimson Planks, minecraft:crimson_planks,  ;
Crimson Pressure Plate, minecraft:crimson_pressure_plate,  ;
Crimson Roots, minecraft:crimson_roots,  ;
Crimson Sign, minecraft:crimson_sign,  ;
Crimson Slab, minecraft:crimson_slab,  ;
Crimson Stairs, minecraft:crimson_stairs,  ;
Crimson Stem, minecraft:crimson_stem,  ;
Crimson Trapdoor, minecraft:crimson_trapdoor,  ;
Crossbow, minecraft:crossbow,  ;
Crying Obsidian, minecraft:crying_obsidian,  ;
Cut Red Sandstone, minecraft:cut_red_sandstone,  ;
Cut Red Sandstone Slab, minecraft:cut_red_sandstone_slab,  ;
Cut Sandstone, minecraft:cut_sandstone,  ;
Cut Sandstone Slab, minecraft:cut_sandstone_slab,  ;
Cyan Banner, minecraft:cyan_banner,  ;
Cyan Bed, minecraft:cyan_bed,  ;
Cyan Carpet, minecraft:cyan_carpet,  ;
Cyan Concrete, minecraft:cyan_concrete,  ;
Cyan Concrete Powder, minecraft:cyan_concrete_powder,  ;
Cyan Dye, minecraft:cyan_dye,  ;
Cyan Glazed Terracotta, minecraft:cyan_glazed_terracotta, 244;
Cyan Shulker Box, minecraft:cyan_shulker_box, 228;
Cyan Stained Glass, minecraft:cyan_stained_glass,  ;
Cyan Stained Glass Pane, minecraft:cyan_stained_glass_pane,  ;
Cyan Terracotta, minecraft:cyan_terracotta,  ;
Cyan Wool, minecraft:cyan_wool,  ;
Very Damaged Anvil, minecraft:damaged_anvil, 145;
Dandelion, minecraft:dandelion, 37;
Dark Oak Boat, minecraft:dark_oak_boat, 448;
Dark Oak Button, minecraft:dark_oak_button,  ;
Dark Oak Door, minecraft:dark_oak_door, 431;
Dark Oak Fence, minecraft:dark_oak_fence, 191;
Dark Oak Fence Gate, minecraft:dark_oak_fence_gate, 186;
Dark Oak Leaves, minecraft:dark_oak_leaves,  ;
Dark Oak Log, minecraft:dark_oak_log,  ;
Dark Oak Planks, minecraft:dark_oak_planks,  ;
Dark Oak Pressure Plate, minecraft:dark_oak_pressure_plate,  ;
Dark Oak Sapling, minecraft:dark_oak_sapling,  ;
Dark Oak Sign, minecraft:dark_oak_sign,  ;
Dark Oak Wood Slab, minecraft:dark_oak_slab,  ;
Dark Oak Wood Stairs, minecraft:dark_oak_stairs, 164;
Dark Oak Trapdoor, minecraft:dark_oak_trapdoor,  ;
Dark Oak Wood with Bark, minecraft:dark_oak_wood,  ;
Dark Prismarine, minecraft:dark_prismarine,  ;
Dark Prismarine Slab, minecraft:dark_prismarine_slab,  ;
Dark Prismarine Stairs, minecraft:dark_prismarine_stairs,  ;
Daylight Sensor, minecraft:daylight_detector, 151;
Dead Brain Coral Block, minecraft:dead_brain_coral_block,  ;
Dead Bubble Coral Block, minecraft:dead_bubble_coral_block,  ;
Dead Bush, minecraft:dead_bush, 32;
Dead Fire Coral Block, minecraft:dead_fire_coral_block,  ;
Dead Horn Coral Block, minecraft:dead_horn_coral_block,  ;
Dead Tube Coral Block, minecraft:dead_tube_coral_block,  ;
Detector Rails, minecraft:detector_rail, 28;
Diamond, minecraft:diamond, 264;
Diamond Axe, minecraft:diamond_axe, 279;
Block of Diamond, minecraft:diamond_block, 57;
Diamond Boots, minecraft:diamond_boots, 313;
Diamond Chestplate, minecraft:diamond_chestplate, 311;
Diamond Helmet, minecraft:diamond_helmet, 310;
Diamond Hoe, minecraft:diamond_hoe, 293;
Diamond Horse Armor, minecraft:diamond_horse_armor, 419;
Diamond Leggings, minecraft:diamond_leggings, 312;
Diamond Ore, minecraft:diamond_ore, 56;
Diamond Pickaxe, minecraft:diamond_pickaxe, 278;
Diamond Shovel, minecraft:diamond_shovel, 277;
Diamond Sword, minecraft:diamond_sword, 276;
Diorite, minecraft:diorite,  ;
Diorite Slab, minecraft:diorite_slab,  ;
Diorite Stairs, minecraft:diorite_stairs,  ;
Diorite Wall, minecraft:diorite_wall,  ;
Dirt, minecraft:dirt, 3;
Dispenser, minecraft:dispenser, 23;
Dolphin Spawn Egg, minecraft:dolphin_spawn_egg,  ;
Donkey Spawn Egg, minecraft:donkey_spawn_egg,  ;
Dragon's Breath, minecraft:dragon_breath, 437;
Dragon Egg, minecraft:dragon_egg, 122;
Dragon Head, minecraft:dragon_head,  ;
Dried Kelp, minecraft:dried_kelp,  ;
